Minutes,Balls faced,Runs
13,10,4
72,54,15
1,2,0
118,107,27
62,53,30
154,111,52
136,114,63
28,21,11
3,1,0
50,41,23
35,24,9
107,81,44
191,136,75
237,213,116
96,62,22
143,107,58
284,193,103
130,82,51*
70,67,19
17,21,14*
65,55,19
16,13,7
31,24,6
86,60,20
356,295,103
266,206,107
119,92,34
157,129,67*
80,61,34
11,8,1
76,60,41
13,5,3
80,78,57
257,181,119
254,193,96
114,87,46
26,27,11
17,13,4
131,102,67
131,93,38
195,135,105*
6,8,1
39,29,8
39,34,25
1,1,0
119,75,39
77,56,28
3,2,0
15,11,7
34,18,6
80,54,20
